Key,Source,Context,Changes,English,French,German,Klingon,Spanish
survivalTip,,Journal,,Your current health is displayed in red and max health is grey. Damaged health or your max health cap is displayed in black.\n\nEat food or use medicine to restore health. Use bandages or med kits to restore your max health cap.\n\nYour current stamina is displayed in blue and max stamina is grey. Damaged stamina or your max stamina cap is displayed in black.\n\nHealth and stamina recovery rate is determined by your hydration level found in the character stats menu.\n\nDrink water to restore stamina regen rate. Eat food to restore your max stamina cap.\nYou can eat/drink 50 points above your current food and water caps.,,,,
survivalTip_title,,Journal,New,Survival,,,,
infectionTip,,Journal,,"Infection is a constant danger in the zombie apocalypse.\nFighting zombies is the most common source of infection and wearing armor is highly recommended.\n\nInfection will drain your stamina and in later stages of the infection also your attributes. If untreated it is lethal within 7 game days.\n\nUsing any applicable cure (Honey, Herbal Antibiotics, Antibiotics) will immediately make you feel better and reduce the negative effects. A cure reduces the infection percentage by the amount listed on the item.\n\nThe Infection symbol on the main screen will change to show if it is being treated (getting better) or not.",,,,
infectionTip_title,,Journal,New,Infection,,,,
foodPoisoningTip,,Journal,,"Eating and drinking are necessities but these days not all food and drink is safe.\n\nFood and drink items display a % value for the chance of getting Food Poisoning or Dysentery.\nLevels of the Slow Metabolism perk reduce this chance.\n\nFood Poisoning causes you to vomit, losing some water and all food, greatly reducing your max stamina and leaving you weakened.\n\nDysentery causes diarrhea which dehydrates you. This slows down the rate at which you regenerate stamina and health.\nIf untreated it is lethal within 2 days.\nGoldenrod Tea and Pure Mineral Water will cure dysentery.",,,,
foodPoisoningTip_title,,Journal,New,Dysentery / Food Poisoning,,,,
tableSawTip,,Journal,New,Use the table saw to unlock and craft a multitude of cosmetic recipes to customize and decorate your base. ,,,,
tableSawTip_title,,Journal,New,Table Saw,,,,
traderTip,,Journal,EnChanged,Traders can be found in the world at White River Settlements marked by a Flag and a Traitor Joel’s sign. Items can be bought and sold with Duke Coins. You can see your total cash in the upper corner of your inventory. Traders will restock items periodically. They also have a secret stash which has items only you can see. Some items can only be bought or sold in bundles. Traders are open for business between dawn and dusk. Invest in the Better Barter perk to improve your buying and selling skills with traders. Traders can also give you quests.,,,,
traderTip_title,,Journal,KeyTrunk FrNone GrNone KgNone SpNone,Traders,Marchands,Händler,,Vendedores
treasureMapTip,,Journal,KeyTrunk FrNone GrNone KgNone SpNone,Treasure maps can lead to really great loot. If you read and accept a Treasure Quest the map and compass will be marked with a treasure icon. Follow this icon and when you get close it will flash red. Make sure you are digging in the area when the compass icon is flashing red. Treasure is usually buried 2-3 meters underground. Invest in the Treasure Hunter Perk to make treasure hunting easier to find.,"Les cartes au trésor peuvent conduire à des butins de grande qualité. Lorsque vous lisez et acceptez une quête au trésor, la carte et la boussole indiquent l'icône du trésor. Suivez cette icône, elle clignotera en rouge lorsque vous en serez proche. Veillez à bien creuser dans la zone clignotant en rouge sur la boussole. Les trésors sont généralement enterrés à 2 ou 3 mètres de profondeur. Investissez dans l'avantage Chasseur de trésors pour trouver les trésors plus facilement.","Schatzkarten können dich zu wirklich toller Beute führen. Wenn du eine Schatzquest liest und annimmst, erscheint auf der Karte und dem Kompass ein Schatzsymbol. Folge diesem Symbol – wenn du dich dem Schatz näherst, beginnt es, rot zu blinken. Grabe in dem Gebiet, in dem das Symbol auf dem Kompass rot blinkt. Schätze sind meistens etwa 2 bis 3 Meter tief vergraben. Investiere in die Eigenschaft „Schatzsucher“ und die Schatzsuche wird dir leichter fallen.",,"Los mapas del tesoro te pueden llevar a botines fenomenales. Si lees y aceptas una misión de tesoro, aparecerá un icono de tesoro en el mapa y en la brújula. Sigue este ícono y verás que cuando estés cerca, empezará a parpadear en color rojo. Asegúrate de que estás cavando en la zona donde el ícono de la brújula parpadea en color rojo. Los tesoros suelen estar enterrados a unos 2 o 3 metros. Mejora tu beneficio de cazador de tesoros para que sea más fácil encontrarlos."
treasureMapTip_title,,Journal,KeyTrunk FrNone GrNone KgNone SpNone,Treasure Maps,Cartes au trésor,Schatzkarten,,Mapas del tesoro
triggerDelayDurationTip,,Journal,,"If you have a triggering component such as a trigger plate, motion sensor or trip wire you can customize the way it triggers. Open it and you will see control options to manipulate Delay and Duration with a variety of options under each setting. Power duration can be set to a time or triggered which only lasts as long as someone is standing in the trigger zone. There is also an always setting which stays on until it is out of power or reset. There are also options to customize the timing of the triggered event.",,,,
triggerDelayDurationTip_title,,Journal,,Trigger Delay and Duration,,,,
tutorialTipQuest01,,Journal,EnChanged,"Dear Friend,\n\nThe wasteland can be an unforgiving place, I found you naked and left for dead with no supplies. It looks like you crossed the Duke in a bad way and you could use some help. Enclosed is a short guide to help you survive. If you complete it, we just might take in a new citizen. The White River Settlement, it's real and it's safe.\n\nPeace be with you friend, -Noah","Camarade,\n\nCes terres désolées peuvent être impitoyables et tu sembles avoir besoin d'aide. Tu trouveras ci-joint un petit guide de survie. Si tu te débrouilles bien, tu rejoindras peut-être nos rangs. Le hameau de la Rivière blanche existe, et il est sûr.\n\nBonne chance, Noah","Lieber Freund!\n\nDas Ödland kann gnadenlos sein und du siehst aus, als könntest du etwas Hilfe gebrauchen. Anbei findest du eine kurze Anleitung, die dir beim Überleben hilft. Wenn du sie abschließt, nehmen wir vielleicht einen neuen Bürger auf. Die Siedlung von White River gibt es wirklich und sie ist sicher.\n\nViel Glück! Noah",,"Querido/a amigo/a:\n\nEl páramo puede ser un sitio peligroso y parece que necesitas una mano. Encontrarás una pequeña guía adjunta para ayudarte a sobrevivir. Si la completas, puede que te aceptemos como un nuevo ciudadano. El asentamiento Río Blanco es real y seguro.\n\nBuena suerte, Noah."
tutorialTipQuest01_title,,Journal,KeyTrunk FrNone GrNone KgNone SpNone,Started Basics of Survival,Bases de la survie entamées,Erste Grundlagen für das Überleben,,Supervivencia básica comenzada
tutorialTipQuest01Console,,Journal,KeyCon KgNone,You've discovered a mysterious note. Read it by pressing {0} while the note is equipped or by using the read action when examining the note.,"Vous avez trouvé un étrange message. Lisez-le en appuyant sur {0} après l'avoir équipé, ou grâce à l'action de lecture lorsque vous l'examinez.","Du hast eine geheimnisvolle Notiz entdeckt. Lies sie durch Drücken von {0}, während die Notiz ausgerüstet ist; oder benutze die Lesen-Aktion, wenn du die Notiz untersuchst.",,"Descubriste una nota misteriosa. Para leerla, presiona {0} mientras tengas equipada la nota o usando la acción de leer cuando la investigues."
tutorialTipQuest02,,Journal,KgNone,"Basic Survival is your active quest. The quest's status is displayed on the Objective Tracker in the top right of the screen. For more information on quests, access your Inventory and navigate to the Quests menu.","La quête « Les bases de la survie » est active. Le statut de la quête s'affiche dans le suivi des objectifs, en haut à droite de l'écran. Pour plus d'informations sur les quêtes, accédez à votre inventaire et ouvrez le menu des quêtes.","„Das 1x1 des Überlebens“ ist deine aktive Quest. Der Status der Quest ist oben rechts über den Ziel-Tracker einsehbar. Öffne dein Inventar und dann das Quest-Menü, um mehr über Quests zu erfahren.",,"Tu misión activa es supervivencia básica. El estado de la misión se muestra en el indicador de objetivos, en la parte superior derecha de la pantalla. Accede a tu inventario y navega por el menú misiones para obtener más información sobre éstas."
tutorialTipQuest02_button_console,,Journal,KeyCon KgNone,Basic Survival is your active quest. The quest's status is displayed on the Objective Tracker in the top right of the screen. For more information on quests access your Inventory {0} and navigate to the Quests menu {1}.,"La quête « Les bases de la survie » est active. Le statut de la quête s'affiche dans le suivi des objectifs, en haut à droite de l'écran. Pour plus d'informations sur les quêtes, accédez à votre inventaire {0} et ouvrez le menu des quêtes {1}.","„Das 1x1 des Überlebens“ ist deine aktive Quest. Der Status der Quest ist oben rechts über den Ziel-Tracker einsehbar. Öffne dein Inventar {0} und dann das Quest-Menü {1}, um mehr über Quests zu erfahren.",,"Tu misión activa es Supervivencia básica. El estado de la misión se muestra en el indicador de objetivos, en la parte superior derecha de la pantalla. Accede a tu Inventario {0} y navega por el menú Misiones {1} para obtener más información sobre estas."
tutorialTipQuest02_console,,Journal,KeyCon KgNone,"Basic Survival is your active quest. The quest's status is displayed on the Objective Tracker in the top right of the screen. For more information on quests, access your Inventory and navigate to the Quests menu.","La quête « Les bases de la survie » est active. Le statut de la quête s'affiche dans le suivi des objectifs, en haut à droite de l'écran. Pour plus d'informations sur les quêtes, accédez à votre inventaire et ouvrez le menu des quêtes.","„Das 1x1 des Überlebens“ ist deine aktive Quest. Der Status der Quest ist oben rechts über den Ziel-Tracker einsehbar. Öffne dein Inventar und dann das Quest-Menü, um mehr über Quests zu erfahren.",,"Tu misión activa es Supervivencia básica. El estado de la misión se muestra en el indicador de objetivos, en la parte superior derecha de la pantalla. Accede a tu Inventario y navega por el menú Misiones para obtener más información sobre éstas."
tutorialTipQuest02_title,,Journal,KeyTrunk FrNone GrNone KgNone SpNone,Quest Tracking,Suivi de quête,Quests verfolgen,,Progreso de misiones
tutorialTipQuest03_button_console,,Journal,EnChanged,"You've earned Skill Points for completing the Basic Survival Quest. Spend them by accessing your Inventory {0} and navigate to the Skills menu {1}, then highlight the desired Skill or Perk and Purchase {2} it.","Vous avez gagné un point de compétence en terminant la quête « Les bases de la survie ». Pour le dépenser, accédez à votre inventaire {0} et ouvrez le menu des compétences {1}, puis sélectionnez la compétence ou l'avantage de votre choix et procédez à l'achat {2}.","Für den Abschluss der Quest „Das 1x1 des Überlebens“ hast du Fertigkeitspunkts erhalten. Verwende sie im Inventar {0} über das Fertigkeiten-Menü {1}, indem du dort die gewünschte Fertigkeit oder Eigenschaft auswählst und sie kaufst {2}.",,"Ganaste un Punto de habilidad por completar la misión Supervivencia básica. Para gastarlo, accede a tu Inventario {0} y navega al menú de Habilidades {1}. Luego, selecciona la habilidad o beneficio deseado y cómpralo {2}."
tutorialTipQuest03_console,,Journal,KeyCon EnChanged,"You've earned Skill Points for completing the Basic Survival Quest. Spend them by accessing your Inventory and navigating to the Skills menu, then highlight the desired Skill or Perk and purchase it.","Vous avez gagné un point de compétence en terminant la quête « Les bases de la survie ». Pour le dépenser, accédez à votre inventaire et ouvrez le menu des compétences, puis sélectionnez la compétence ou l'avantage de votre choix et procédez à l'achat.","Für den Abschluss der Quest „Das 1x1 des Überlebens“ hast du Fertigkeitspunkte erhalten. Verwende sie über das Fertigkeiten-Menü in deinem Inventar, indem du dort die gewünschte Fertigkeit oder Eigenschaft auswählst und sie kaufst.",,"Ganaste un Punto de habilidad por completar la misión Supervivencia básica. Para gastarlo, accede a tu Inventario y navega al menú de Habilidades. Luego, selecciona la habilidad o beneficio deseado y cómpralo."
vendingMachineTip,,Journal,KeyTrunk FrNone GrNone KgNone SpNone,"There are three types of vending machines: beverage vending machines found at stores, rentable vending machines found at Trader Settlements, and player owned vending machines which can only be acquired through a Trader’s Secret Stash. All vending Machines use Duke Coins which can be found in the world or acquired through selling items to Traders. You can see how much money you have in the upper right of your inventory. NPCs can purchase from your rented vending machine so it’s wise to keep it well stocked and not mark up the items too high.","Il existe trois types de distributeur automatique : les distributeurs de boissons disponibles aux magasins, les distributeurs à louer aux hameaux de marchands et les distributeurs du joueur, que vous pouvez obtenir grâce aux réserves secrètes des vendeurs. Tous les distributeurs automatiques fonctionnent avec des pièces Duke, qui peuvent être trouvées dans le monde ou acquises en vendant des objets aux marchands. Votre argent s'affiche dans le coin supérieur de votre inventaire. Les PNJ peuvent utiliser vos distributeurs automatiques, veillez donc à les approvisionner et à ne pas fixer les prix trop haut.","Es gibt drei verschiedene Sorten von Automaten: Getränkeautomaten in Läden, mietbare Warenautomaten in Händlersiedlungen und Warenautomaten, die Spielern gehören – letztere bekommt man nur aus dem Geheimvorrat eines Händlers. Für alle Automaten braucht man Duke-Jetons, die man in der Welt finden oder durch den Verkauf von Gegenständen an Händler erhalten kann. Du kannst in der oberen rechten Ecke deines Inventars sehen, wie viel Geld du hast. NPC (Nichtspielercharaktere) kaufen Gegenstände aus deinen gemieteten Warenautomaten, deswegen solltest du darauf achten, dass diese immer gut gefüllt und die Preise nicht zu hoch sind.",,"Hay tres tipos de máquinas expendedoras: las máquinas de bebidas, que se encuentras en tiendas; las máquinas de alquiler, que se encuentran en el asentamiento de los vendedores; y las máquinas que son propiedad de jugadores, que solo se pueden adquirir a través de la reserva secreta de un vendedor. Todas las máquinas expendedoras utilizan monedas Duke, que se pueden encontrar en el mundo o se pueden adquirir al vender objetos a los vendedores. Puedes ver el dinero que tienes en la esquina superior de tu inventario. Los PNJ también pueden comprar objetos en las máquinas expendedoras que alquiles, por lo que es recomendable tenerlas bien provistas y que los precios no sean demasiado altos."
vendingMachineTip_title,,Journal,KeyTrunk FrNone GrNone KgNone SpNone,Vending Machines,Distributeurs automatiques,Automaten,,Máquinas expendedoras
waterTip,,Journal,EnChanged,"Water determines how fast your health and stamina bars recover. While holding an empty glass jar you can fill it with water at a water source using the secondary action. By drinking unpurified water you run the risk of contracting dysentery. At a campfire you can boil jars of water. Your water level can be found in the character stats menu.\n\nWater will affect regen speed when it is below 75%, 50% and 25%.\n\nYou can drink water up to 50 points above your current cap.\nAll drink items will provide a small bonus to stamina regen for a limited time.","Vous pouvez boire de l'eau aux rivières et aux lacs à mains nues avec l'action secondaire. Attention, cette eau n'est pas purifiée et vous pourriez souffrir de dysenterie. Remplissez une conserve ou un bocal vide aux points d'eau à l'aide de l'action secondaire et faites bouillir l'eau au feu de camp.","Du kannst nur mit deinen Händen Wasser aus Flüssen und Seen trinken, indem du die sekundäre Aktion einsetzt. Aber Vorsicht – dieses Wasser ist nicht trinkbar gemacht und es besteht die Gefahr, dass du an Dysenterie erkrankst. Du kochst Wasser am besten über dem Lagerfeuer mit einer leeren Dose oder einem Glaskrug, die an Wasserquellen gefüllt werden können, indem die sekundäre Aktion benutzt wird.",,Puedes beber agua de ríos y lagos con tus manos a través de la acción secundaria. Ten en cuenta que esta agua no está purificada y corres el riesgo de contraer disentería. Es mejor usar una lata vacía o una jarra de cristal para hervir el agua en una fogata; ambos recipientes se pueden llenar en fuentes de agua usando la acción secundaria.
waterTip_title,,Journal,KeyTrunk FrNone GrNone KgNone SpNone,Water,Eau,Wasser,,Agua
workbenchTip,,Journal,EnChanged,Not only does the Workbench have all the backpack recipes it also unlocks advanced recipes allowing you to craft more items. Queue up a craft action and walk away keeping your main crafting queue open for use. Inside your land claim area all workstations can be picked up by holding ''E'' and selecting ''TAKE'' from the radial menu.,,,,
workbenchTip_title,,Journal,KeyTrunk FrNone GrNone KgNone SpNone,Workbench,Établi,Werkbank,,Mesa de trabajo
completed,,Keywords,KgNone,Completed,Terminée,Abgeschlossen,,Completada
failed,,Keywords,KgNone,Failed,Échec,Fehlgeschlagen,,Fallida
ObjectiveAnimalKill_keyword,,Keywords,KgNone,Kill,Tuer,Töten,,Mata
ObjectiveAssemble_keyword,,Keywords,KgNone,Assemble,Assembler,Zusammensetzen,,Ensambla
ObjectiveBlockActivate_keyword,,Keywords,KgNone,Activate,,,,
ObjectiveBlockPickup_keyword,,Keywords,KgNone,Pickup,Ramasser,Aufheben,,Recoge
ObjectiveBlockPlace_keyword,,Keywords,KgNone,Place,Placer,platziert,,Coloca
ObjectiveBlockUpgrade_keyword,,Keywords,KgNone,Upgrade,Améliorer,aufgewertet,,Mejora
ObjectiveBuff_keyword,,Keywords,KgNone,Get,Obtenir,Erhalten,,Consigue
ObjectiveCraft_keyword,,Keywords,KgNone,Craft,Fabriquez,gefertigt,,Fabrica
ObjectiveExchangeItemFrom_keyword,,Keywords,KgNone,Fill,Remplir,Füllen,,Llena
ObjectiveFetch_keyword,,Keywords,KgNone,Gather,Collectez,gesammelt,,Reúne
ObjectiveFetchContainer_keyword,,Keywords,KgNone,Find,,,,
ObjectiveGoto_keyword,,Keywords,KgNone,Locate {0},Trouver {0},Finde {0},,Ubicar {0}
ObjectiveLocateSupplies_keyword,,Keywords,New,Locate Supplies,,,,
ObjectiveNearby_keyword,,Keywords,New,Nearby,,,,
ObjectiveOpenWindow_keyword,,Keywords,KgNone,Open {0} Window,Ouvrir la fenêtre {0},Öffne {0}-Fenster,,Abre {0} ventana(s)
ObjectiveRallyPointActivate,,Keywords,New,Activate Rally Point,,,,
ObjectiveRallyPointHeadTo,,Keywords,New,Head to Rally Point,,,,
ObjectiveRepair_keyword,,Keywords,KgNone,Repair,Réparer,Reparieren,,Repara
ObjectiveScrap_keyword,,Keywords,KgNone,Scrap,Recycler,Zerlegen,,Desguaza
ObjectiveSpendSkillPoints_keyword,,Keywords,KgNone,Purchase {0} Skill Level(s),Acheter {0} niveau(x) de compétence,Kaufe {0} Fertigkeitslevel(s),,Compra {0} nivel(es) de habilidad
ObjectiveStayWithin_keyword,,Keywords,,Stay Within,,,,
ObjectiveTime_keyword,,Keywords,KgNone,Time,Durée,Zeit,,Tiempo
ObjectiveTreasureChest_keyword,,Keywords,New,Locate Treasure,,,,
ObjectiveWaitForActivate_keyword,,Keywords,New,Wait for Activate,,,,
ObjectiveWear_keyword,,Keywords,KgNone,Wear,Porter,getragen,,Vestir
ObjectiveZombieKill_keyword,,Keywords,KgNone,Kill,Tuer,Töten,,Mata
optional,,Keywords,KgNone,Optional,Facultative,Optional,,Opcional
RequirementBuff_keyword,,Keywords,KgNone,Effect,Effet,Effekt,,Efecto
RequirementHolding_keyword,,Keywords,KgNone,Using,Avec,Unter Verwendung von,,En uso
RequirementLevel_keyword,,Keywords,KgNone,Level,Niveau,Level,,Nivel
RequirementWearing_keyword,,Keywords,KgNone,Wear,Porter,Tragen,,Vestir
RewardExp_keyword,,Keywords,KgNone,EXP,EXP,ERF,,EXP
RewardLevel_keyword,,Keywords,KgNone,Level,Niveau,Level,,Nivel
RewardQuest_keyword,,Keywords,KgNone,New Quest,Nouvelle quête,Neue Quest,,Nueva misión
RewardRecipe_keyword,,Keywords,KgNone,Recipe Unlocked,Composition déverrouillée,Rezept freigeschaltet,,Receta desbloqueada
RewardSkill_keyword,,Keywords,KgNone,Skill,Compétence,Fertigkeit,,Habilidad
RewardSkillPoint_keyword,,Keywords,KgNone,Skill Point,Point de compétence,Fertigkeitspunkt,,Punto de habilidad
RewardTypeChainQuest,,Keywords,KgNone,Chain Reward,Récompense de série,Serienbelohnung,,Cadena de recompensas
RewardTypeQuest,,Keywords,KgNone,Reward,Récompense,Belohnung,,Recompensa
started,,Keywords,KgNone,Started,En cours,Begonnen,,Empezada
Tip_keyword,,Keywords,KeyTrunk FrNone GrNone KgNone SpNone,Tip,Astuce,Tipp,,Consejo
poiLockoutBedroll,,POI Lockout,New,There is a bedroll placed inside the POI you are wanting to quest in. Please come back later.,,,,
poiLockoutLandClaim,,POI Lockout,New,There is a landclaim placed inside the POI you are wanting to quest in. Please come back later.,,,,
poiLockoutPlayerInside,,POI Lockout,New,There is a player inside the POI you are wanting to quest in. Please come back later.,,,,
poiLockoutQuestLock,,POI Lockout,New,This area is not available for questing at this time. Please come back later.,,,,
quest_BasicSurvival,,Quest Info,KgNone,Basic Survival,Les bases de la survie,Das 1x1 des Überlebens,,Supervivencia básica
quest_BasicSurvival_offer,,Quest Info,KeyCon KgNone,"Dear Friend,\nAs you know the wasteland can be an unforgiving place and from our observations you look like you could use some help. Here’s a little guide to help a newcomer survive.  Think of it as our little initiation. Complete it to our liking and we just might take in a new citizen. The White River Settlement, it’s real and it’s safe.\n\n Good Luck Noah","Camarade,\nComme tu le sais, les terres désolées peuvent être impitoyables et tu sembles avoir besoin d'aide. Voici un petit guide pratique pour les nouveaux survivants.  Vois ça comme une sorte d'initiation. Débrouille-toi comme il faut et tu rejoindras peut-être bien nos rangs. Le hameau de la Rivière blanche existe, et il est sûr.\n\n Bonne chance, Noah","Lieber Freund!\nWie du weißt, kann das Ödland gnadenlos sein. Wir haben dich beobachtet, und du siehst aus, als könntest du etwas Hilfe gebrauchen. Hier hast du eine kleine Anleitung, die Neuankömmlingen beim Überleben hilft.  Betrachte es als eine Art Aufnahmeritual. Schließe es zu unserer Zufriedenheit ab und vielleicht nehmen wir einen neuen Bürger auf. Die Siedlung von White River gibt es wirklich und sie ist sicher.\n\n Viel Glück! Noah",,"Querido/a amigo/a:\nComo bien sabes, el páramo puede ser un sitio peligroso y todo parece indicar que necesitas una mano. Toma, esta pequeña guía puede ayudar a sobrevivir a los recién llegados.  Considérala una pequeña iniciación. Complétala como se indica y puede que te aceptemos como un nuevo ciudadano. El asentamiento Río Blanco es real y seguro.\n\n Buena suerte, Noah."
quest_BasicSurvival1,,Quest Info,Reordered,Basic Survival 1/8,Les bases de la survie 1/8,Das 1x1 des Überlebens 1/8,,Supervivencia básica 1/8
quest_BasicSurvival1_description,,Quest Info,Reordered,"Craft a Bedroll by gathering plant fibers. Once you have the ingredients open your crafting inventory, navigate to the basics recipe category, highlight the recipe and click the craft button. \n\nPlace the Bedroll in the world by first equipping it and using the secondary action key. Once placed you'll see a Bed Icon on your compass and map. This will lead you back to your home and will act as a re-spawn point if you die.","Fabriquez un sac de couchage à l'aide de fibres végétales. Une fois les composants acquis, ouvrez votre inventaire de fabrication, accédez à la catégorie des compositions de base, sélectionnez la composition souhaitée, puis cliquez sur le bouton de fabrication. \n\nÉquipez le sac de couchage, puis placez-le à l'aide de la touche d'action secondaire. Une fois placé, une icône de lit s'affichera sur votre boussole et votre carte. Cette icône vous aidera à retrouver votre foyer et servira de point de réapparition si vous veniez à mourir.","Fertige einen Schlafsack, indem du Pflanzenfasern sammelst. Wenn du die Zutaten hast, öffne dein Handwerks-Inventar und gehe zur Rezeptkategorie „Grundlagen“. Markiere das Rezept und klicke auf „Fertigen“. \n\nPlatziere den Schlafsack in der Welt, indem du ihn zuerst ausrüstest und dann die sekundäre Aktionstaste verwendest. Wenn er platziert ist, erscheint ein Bett-Symbol auf deinem Kompass und deiner Karte. Dies wird dich zurück nach Hause führen, und außerdem wirst du hier wiedererscheinen, falls du stirbst.",,"Fabrica un saco de dormir con fibra vegetal. Una vez tengas los ingredientes, abre el menú de fabricación, ve a la categoría de recetas básicas, selecciona la receta y presiona el botón de fabricar. \n\nPara poner el saco de dormir en el mundo, equípalo y presiona el botón de acción secundaria. Una vez puesto, verás un icono de una cama en la brújula y en el mapa. Esto te guiará de nuevo a tu casa y será un punto de reaparición si mueres."
quest_BasicSurvival1_description_button_console,,Quest Info,KeyCon KgNone,"Craft a Stone Axe to help you defend yourself and gather crafting ingredients. Gather ingredients by Attacking {0} grass, stone, or wood objects. You can also gather small stones by looking at them and using Pickup {1}. \n\nOnce you have the ingredients, access the Inventory {2} and Select {3} Stone Axe in the Basics category of the Crafting window. Craft {4} a Stone Axe.","Fabriquez une hache de pierre pour vous défendre et collecter des composants. Collectez des composants en détruisant {0} de l'herbe, des pierres et des objets en bois. Vous pouvez également ramasser de petites pierres en les regardant et en utilisant l'action de ramasser {1}. \n\nUne fois les composants acquis, rendez-vous dans l'inventaire {2} et sélectionnez {3} la hache de pierre dans la catégorie de base de la fenêtre de fabrication. Fabriquez {4} une hache de pierre.","Fertige eine Steinaxt, um dich besser zu verteidigen, und sammle Fertigungszutaten dafür. Sammle Zutaten, indem du Gras, Steine oder Holzobjekte angreifst {0}. Du kannst auch kleine Steine sammeln, indem du sie ansiehst und die Aufheben-Aktion {1} verwendest. \n\nWenn du die Zutaten hast, gehe zum Inventar {2} und wähle {3} im Fertigungs-Fenster in der Kategorie „Grundlagen“ die Steinaxt aus. Fertige {4} eine Steinaxt.",,"Fabrica un hacha de piedra para ayudarte a defenderte y reunir ingredientes para fabricar. Ataca {0} la hierba, piedras u objetos de madera para reunir ingredientes. También puedes reunir piedras pequeñas si las miras y usas Recoger {1}. \n\nUna vez que tengas los ingredientes, accede al Inventario {2} y selecciona {3} el Hacha de piedra en la categoría Básico de la ventana de Fabricación. Fabrica {4} un hacha de piedra."
quest_BasicSurvival1_description_console,,Quest Info,KeyCon KgNone,"Craft a Stone Axe to help you defend yourself and gather crafting ingredients. Gather the ingredients by attacking grass, stone, or wood objects. You can also pick up small stones by looking at them and using the Pickup action. \n\nOnce you have the ingredients, access the Inventory and locate Stone Axe in the Basics category of the Crafting window. Craft a Stone Axe.","Fabriquez une hache de pierre pour vous défendre et collecter des composants. Collectez des composants en détruisant de l'herbe, des pierres et des objets en bois. Vous pouvez également ramasser de petites pierres en les regardant et en utilisant l'action de ramasser. \n\nUne fois les composants acquis, rendez-vous dans l'inventaire et cherchez la hache de pierre dans la catégorie de base de la fenêtre de fabrication. Fabriquez une hache de pierre.","Fertige eine Steinaxt, um dich besser zu verteidigen, und sammle Fertigungszutaten dafür. Sammle die Zutaten, indem du Gras, Steine oder Holzobjekte angreifst. Du kannst auch kleine Steine aufheben, indem du sie ansiehst und die Aufheben-Aktion verwendest. \n\nWenn du die Zutaten hast, öffne dein Inventar und wähle im Fertigungs-Fenster in der Kategorie „Grundlagen“ die Steinaxt aus. Fertige eine Steinaxt.",,"Fabrica un hacha de piedra para ayudarte a defenderte y reunir ingredientes para fabricar. Ataca la hierba, piedras u objetos de madera para reunir los ingredientes. También puedes recoger piedras pequeñas si las miras y usas la acción Recoger. \n\nUna vez que tengas los ingredientes, accede al Inventario y localiza el Hacha de piedra en la categoría Básico de la ventana de Fabricación. Fabrica un hacha de piedra."
quest_BasicSurvival1_subtitle,,Quest Info,Reordered,Craft a Bedroll,Fabriquer un sac de couchage,Fertige einen Schlafsack,,Fabrica un saco de dormir.
quest_BasicSurvival2,,Quest Info,Reordered,Basic Survival 2/8,Les bases de la survie 2/8,Das 1x1 des Überlebens 2/8,,Supervivencia básica 2/8
quest_BasicSurvival2_description,,Quest Info,Reordered,"Craft a Stone Axe to help you defend yourself and gather crafting ingredients. Gather the ingredients by attacking grass, stone, or wood objects. You can also pick up small stones by looking at them and using the Pickup action. Once you have the ingredients, access the Inventory and locate Stone Axe in the Basics category of the Crafting window. Craft a Stone Axe.","Fabriquez une hache de pierre pour vous défendre et collecter des composants. Collectez des composants en détruisant de l'herbe, des pierres et des objets en bois. Vous pouvez également ramasser de petites pierres en les regardant et en utilisant l'action de ramasser. Une fois les composants acquis, rendez-vous dans l'inventaire et cherchez la hache de pierre dans la catégorie de base de la fenêtre de fabrication. Fabriquez une hache de pierre.","Fertige eine Steinaxt, um dich besser zu verteidigen, und sammle Fertigungszutaten dafür. Sammle die Zutaten, indem du Gras, Steine oder Holzobjekte angreifst. Du kannst auch kleine Steine aufheben, indem du sie ansiehst und die Aufheben-Aktion verwendest. Wenn du die Zutaten hast, öffne dein Inventar und wähle im Fertigungs-Fenster in der Kategorie „Grundlagen“ die Steinaxt aus. Fertige eine Steinaxt.",,"Fabrica un hacha de piedra para ayudarte a defenderte y reunir ingredientes para fabricar. Ataca la hierba, piedras u objetos de madera para reunir los ingredientes. También puedes recoger piedras pequeñas si las miras y usas la acción Recoger. Una vez que tengas los ingredientes, accede al Inventario y localiza el Hacha de piedra en la categoría Básico de la ventana de Fabricación. Fabrica un hacha de piedra."
